日付,場名,R,競走名,条件,格,距離,馬場,状態,天候,出走馬名,騎手,性齢,斤量,頭数,人気,単勝,結果,タイム,上り,着差,馬体重,増減,賞金,Rt,管理調教師,母父名,venue_type,race_class
2025-11-09,東京,3,2歳未勝利,2歳未勝利,,1400,芝,良,小雨,シャルトル,岩田望来,牡2,56.0,18,3,7.5,1,1:21.5,34.0,-0.3,450,10,5600000,,栗田徹,Uncle Mo,中央,条件・未勝利
2025-11-09,東京,5,メイクデビュー東京,2歳新馬,,2000,芝,良,小雨,ヴォートセレスト,A.プーシャン,牡2,56.0,6,3,4.1,1,2:00.8,33.4,0.0,496,初出走,7500000,,奥村武,American Post,中央,条件・未勝利
2025-11-09,東京,5,メイクデビュー東京,2歳新馬,,2000,芝,良,小雨,クオンタムスター,鮫島克駿,牡2,56.0,6,4,14.7,3,2:01.1,34.4,0.3,488,初出走,1900000,,堀宣行,Mastercraftsman,中央,条件・未勝利
2025-11-15,ウッドバイン,4,Maiden Optional Claiming,2yo Maiden,,1710,AW,Fast,曇,Grand Warrior,R M Hernandez,牡2,,9,3,,4,1:48.85,37.5,0.4,,,0,,K Atterd,アグネスデジタル,海外,条件・未勝利
2025-11-15,京都,5,メイクデビュー京都,2歳新馬牝,,1600,芝,良,晴,スピーチバルーン,西村淳也,牝2,55.0,18,9,37.4,14,1:38.0,36.0,2.3,424,初出走,0,,吉村圭司,Mr Speaker,中央,条件・未勝利
2025-11-16,京都,3,2歳未勝利,2歳未勝利,,1600,芝,良,晴,ムスクレスト,武豊,牡2,56.0,15,5,18.8,3,1:34.5,35.5,0.6,470,18,1100000,,安田翔伍,Temple City,中央,条件・未勝利
2025-11-16,京都,5,メイクデビュー京都,2歳新馬,,2000,芝,良,晴,フィオーレクラウド,田山旺佑,牝2,52.0,9,8,84.4,7,2:04.4,37.1,2.5,448,初出走,0,,長谷川浩大,シンボリクリスエス,中央,条件・未勝利
2025-11-16,東京,2,2歳未勝利,2歳未勝利,,1800,芝,良,晴,ランズダウンロード,A.プーシャン,牡2,56.0,18,2,3.4,1,1:46.3,35.0,-0.1,474,4,5600000,,木村哲也,Medicean,中央,条件・未勝利
2025-11-16,東京,2,2歳未勝利,2歳未勝利,,1800,芝,良,晴,ビッグヒーロー,団野大成,牡2,56.0,18,1,2.9,2,1:46.4,34.9,0.1,482,6,2200000,,福永祐一,Tale of Ekati,中央,条件・未勝利
2025-11-22,京都,4,2歳未勝利,2歳未勝利,,1800,芝,良,晴,カモンレイル,岩田望来,牡2,56.0,11,9,281.3,10,1:50.6,38.0,3.7,446,0,0,,中竹和也,ウォーエンブレム,中央,条件・未勝利
2025-11-23,京都,3,2歳未勝利,2歳未勝利,,2000,芝,良,晴,レッドラージャ,C.デムーロ,牡2,56.0,16,4,8.3,6,2:01.0,35.9,0.6,514,8,0,,友道康夫,Giant's Causeway,中央,条件・未勝利
